Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
FP1265-1,Tennis (6),Young & Old,Fat Possum Records,"LP, Album",,2012,3408133,Uncategorized,2019-03-03 17:04:49,,,
FP1293-1,Youth Lagoon,Wondrous Bughouse,Fat Possum Records,"2xLP, Album",,2013,4333369,Uncategorized,2019-03-03 17:31:09,,,
FP1510-1,Youth Lagoon,Savage Hills Ballroom,Fat Possum Records,"LP, Album, Ltd, Gol",,2015,7366175,Uncategorized,2019-03-03 17:30:44,,,
"FP1255-1, FP1255-7",Youth Lagoon,The Year Of Hibernation,"Fat Possum Records, Fat Possum Records","LP, Album + 7"", Single",,2011,3020807,Uncategorized,2019-03-03 17:31:29,,,
FAT667-1,Against Me!,As The Eternal Cowboy,Fat Wreck Chords,"LP, Album",,2003,718894,Uncategorized,2019-02-25 17:27:48,,,
FAT744-1,Against Me!,Total Clarity,Fat Wreck Chords,"2x12"", Album",,2011,2926381,Uncategorized,2019-02-25 17:29:03,,,
FATLP135,Shopping (3),Consumer Complaints,FatCat Records,"LP, Album, RE",,2015,7328158,Uncategorized,2019-03-03 16:39:43,,,
FATLP139,Shopping (3),Why Choose,FatCat Records,"LP, Album, RP",,2016,8811929,Uncategorized,2019-03-03 16:39:25,,,
FATLP147,Shopping (3),The Official Body,FatCat Records,"LP, Album",,2018,11197850,Uncategorized,2019-03-03 16:38:34,,,
FD-052,Vagabon,Infinite Worlds,Father/Daughter Records,"LP, Album, Ltd, Met",,2017,10053550,Uncategorized,2019-03-03 17:12:28,,,
FR017,Radiator Hospital,Mall Of America,Forward Records (10),"10""",,2014,5782810,Uncategorized,2019-03-03 16:01:54,,,
F/NF 013,Invisible Hand,Invisible Hand,Funny / Not Funny Records,LP,,2010,2595425,Uncategorized,2019-03-02 08:15:16,,,
F/NF 022,Invisible Hand,Aja,Funny / Not Funny Records,"12"", EP",,2012,4076061,Uncategorized,2019-03-02 08:15:07,,,
00602547945396,Weezer,Weezer,Geffen Records,"LP, Album, RM, RP",,2016,9296301,Uncategorized,2019-03-03 17:23:33,,,
